                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    140,                0.95361,                 0.4231,                0.97979,                0.91029,                0.93848,                0.94924,                0.52413,                  1.139,                0.48169,                 1.0534,             0.00013769,             0.00013769,             0.00013769
                    141,                0.94407,                0.39111,                0.97957,                0.91504,                 0.9301,                0.94398,                0.52287,                 1.1441,                0.48545,                 1.0589,             0.00012669,             0.00012669,             0.00012669
                    142,                0.93743,                0.39123,                0.98504,                0.91178,                0.93034,                0.94305,                0.51934,                 1.1406,                0.48061,                 1.0574,             0.00011569,             0.00011569,             0.00011569
                    143,                 0.9393,                0.37777,                0.97648,                0.92402,                0.91674,                0.94256,                0.52652,                  1.138,                0.48294,                 1.0606,             0.00010469,             0.00010469,             0.00010469
                    144,                0.94006,                0.38187,                0.98405,                0.90745,                0.93556,                0.94287,                0.52289,                 1.1365,                0.48483,                 1.0607,             9.3685e-05,             9.3685e-05,             9.3685e-05
                    145,                0.92702,                0.37857,                0.97323,                0.94843,                0.90038,                0.94427,                0.52538,                 1.1406,                0.48172,                 1.0612,             8.2683e-05,             8.2683e-05,             8.2683e-05
                    146,                0.93561,                0.38506,                0.98157,                0.91157,                0.93739,                0.94439,                0.52167,                 1.1447,                0.47747,                 1.0642,             7.1681e-05,             7.1681e-05,             7.1681e-05
                    147,                0.92417,                0.37849,                0.97873,                0.90299,                0.93893,                0.94488,                0.52188,                 1.1448,                0.47818,                 1.0625,             6.0679e-05,             6.0679e-05,             6.0679e-05
                    148,                0.92641,                 0.3774,                 0.9757,                0.90412,                0.93675,                0.94525,                0.52391,                 1.1428,                0.47614,                 1.0598,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    149,                0.92383,                0.37156,                0.97342,                0.89597,                0.92834,                0.93763,                 0.5277,                 1.1431,                0.47465,                 1.0588,             3.8674e-05,             3.8674e-05,             3.8674e-05
                    150,                0.92314,                0.37278,                0.97564,                0.90603,                0.92481,                0.93788,                0.52499,                 1.1427,                0.47265,                 1.0589,             2.7672e-05,             2.7672e-05,             2.7672e-05
